incident_id,date,time,crime_category,area,district,latitude,longitude,location_type,description
SYN-2024-04384,2024-01-06,20:16:58,Theft / Larceny,Downtown Central,District 1,37.774692,-122.41087,Street / Sidewalk,Reported Theft / Larceny at Street / Sidewalk
SYN-2024-02314,2024-01-06,23:52:22,Burglary,Westside Arts,District 5,37.771947,-122.435002,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-02008,2024-01-07,01:33:53,Theft / Larceny,Westside Arts,District 5,37.774558,-122.44402,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-00188,2024-01-07,11:15:28,Narcotics,Westside Arts,District 5,37.772485,-122.436239,Transit Station,Reported Narcotics at Transit Station
SYN-2024-00508,2024-01-07,12:25:46,Narcotics,Mission Commercial,District 3,37.764545,-122.426816,Parking Facility,Reported Narcotics at Parking Facility
SYN-2024-02079,2024-01-07,20:19:39,Assault,Downtown Central,District 1,37.777002,-122.422599,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-01458,2024-01-07,21:31:52,Robbery,South Rail Corridor,District 4,37.737949,-122.398338,Commercial Retail,Reported Robbery at Commercial Retail
SYN-2024-00406,2024-01-08,08:00:24,Assault,Westside Arts,District 5,37.777974,-122.432645,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-01924,2024-01-08,11:01:03,Fraud,Westside Arts,District 5,37.775622,-122.432208,Transit Station,Reported Fraud at Transit Station
SYN-2024-01643,2024-01-08,17:41:36,Public Disorder,Downtown Central,District 1,37.778998,-122.415511,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-04076,2024-01-08,20:13:44,Robbery,Westside Arts,District 5,37.775227,-122.434185,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-00535,2024-01-08,20:15:45,Burglary,Mission Commercial,District 3,37.733408,-122.421339,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00917,2024-01-09,07:24:10,Public Disorder,Mission Commercial,District 3,37.758277,-122.418584,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-02137,2024-01-09,08:33:56,Burglary,Westside Arts,District 5,37.779512,-122.434773,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-01378,2024-01-09,09:17:32,Burglary,Waterfront Marina,District 2,37.804467,-122.432707,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-04102,2024-01-09,12:21:48,Vandalism,Waterfront Marina,District 2,37.801669,-122.436428,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-02848,2024-01-09,12:34:52,Robbery,Downtown Central,District 1,37.776874,-122.417662,Alleyway,Reported Robbery at Alleyway
SYN-2024-01719,2024-01-09,17:53:00,Public Disorder,Downtown Central,District 1,37.782273,-122.413514,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-03940,2024-01-09,19:13:15,Assault,Waterfront Marina,District 2,37.802434,-122.430539,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-03338,2024-01-10,09:42:29,Robbery,Downtown Central,District 1,37.781179,-122.423476,Commercial Retail,Reported Robbery at Commercial Retail
SYN-2024-00374,2024-01-10,12:15:57,Fraud,Westside Arts,District 5,37.773698,-122.437887,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-01888,2024-01-10,16:11:20,Motor Vehicle Theft,Westside Arts,District 5,37.773902,-122.431992,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02440,2024-01-10,16:42:43,Fraud,Downtown Central,District 1,37.778522,-122.423482,Alleyway,Reported Fraud at Alleyway
SYN-2024-02775,2024-01-10,20:16:23,Assault,Downtown Central,District 1,37.775543,-122.415527,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-03484,2024-01-11,13:06:48,Fraud,Westside Arts,District 5,37.780226,-122.435125,Bar / Restaurant,Reported Fraud at Bar / Restaurant
SYN-2024-00743,2024-01-11,15:27:56,Burglary,Westside Arts,District 5,37.773889,-122.432924,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-01334,2024-01-11,18:19:21,Motor Vehicle Theft,Mission Commercial,District 3,37.76497,-122.421751,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-03571,2024-01-11,18:22:25,Robbery,Mission Commercial,District 3,37.756486,-122.419669,Transit Station,Reported Robbery at Transit Station
SYN-2024-01015,2024-01-11,19:56:51,Burglary,Waterfront Marina,District 2,37.802001,-122.435494,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-03233,2024-01-12,08:01:17,Assault,Downtown Central,District 1,37.778338,-122.421055,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-01192,2024-01-12,15:22:12,Public Disorder,Westside Arts,District 5,37.778951,-122.435181,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-00538,2024-01-12,15:30:36,Motor Vehicle Theft,Westside Arts,District 5,37.782949,-122.433206,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-04367,2024-01-12,15:57:08,Theft / Larceny,Downtown Central,District 1,37.785405,-122.413307,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-04081,2024-01-12,16:06:25,Vandalism,Downtown Central,District 1,37.794203,-122.425558,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-02267,2024-01-12,20:16:32,Theft / Larceny,Waterfront Marina,District 2,37.793712,-122.432,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-03196,2024-01-13,12:38:51,Vandalism,South Rail Corridor,District 4,37.75415,-122.396881,Bar / Restaurant,Reported Vandalism at Bar / Restaurant
SYN-2024-00225,2024-01-13,13:05:46,Fraud,South Rail Corridor,District 4,37.751654,-122.387203,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-02186,2024-01-13,14:04:52,Theft / Larceny,Westside Arts,District 5,37.773444,-122.424182,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-03345,2024-01-13,15:06:42,Motor Vehicle Theft,Mission Commercial,District 3,37.760489,-122.409822,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-00545,2024-01-13,19:24:43,Fraud,Downtown Central,District 1,37.771199,-122.426125,Commercial Retail,Reported Fraud at Commercial Retail
SYN-2024-03042,2024-01-13,22:24:45,Robbery,Downtown Central,District 1,37.787267,-122.418736,Parking Facility,Reported Robbery at Parking Facility
SYN-2024-04276,2024-01-14,00:21:44,Burglary,Westside Arts,District 5,37.778233,-122.430409,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-03528,2024-01-14,00:28:31,Theft / Larceny,Mission Commercial,District 3,37.755169,-122.422377,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-00608,2024-01-14,11:49:31,Fraud,Mission Commercial,District 3,37.761596,-122.416666,Parking Facility,Reported Fraud at Parking Facility
SYN-2024-02397,2024-01-14,15:53:40,Assault,Downtown Central,District 1,37.785992,-122.415984,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-01603,2024-01-14,19:42:23,Assault,Mission Commercial,District 3,37.759221,-122.417817,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-03056,2024-01-14,20:33:25,Motor Vehicle Theft,Downtown Central,District 1,37.778735,-122.41789,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-01772,2024-01-15,09:06:22,Fraud,Westside Arts,District 5,37.770691,-122.436652,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-04043,2024-01-15,10:31:15,Assault,Downtown Central,District 1,37.786949,-122.40611,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-03660,2024-01-15,18:00:00,Burglary,Westside Arts,District 5,37.77272,-122.434766,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-01869,2024-01-15,22:50:23,Motor Vehicle Theft,South Rail Corridor,District 4,37.761042,-122.42877,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-03976,2024-01-16,09:23:44,Vandalism,Mission Commercial,District 3,37.753036,-122.424027,Alleyway,Reported Vandalism at Alleyway
SYN-2024-00206,2024-01-16,09:47:07,Motor Vehicle Theft,Westside Arts,District 5,37.773964,-122.438467,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-01994,2024-01-16,10:09:06,Theft / Larceny,Mission Commercial,District 3,37.760542,-122.425308,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-00444,2024-01-16,12:19:50,Narcotics,Waterfront Marina,District 2,37.803764,-122.436644,Alleyway,Reported Narcotics at Alleyway
SYN-2024-02077,2024-01-16,15:51:37,Motor Vehicle Theft,Mission Commercial,District 3,37.755468,-122.421017,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02033,2024-01-16,17:55:17,Fraud,Westside Arts,District 5,37.776627,-122.435144,Alleyway,Reported Fraud at Alleyway
SYN-2024-00199,2024-01-17,04:38:02,Burglary,Mission Commercial,District 3,37.764136,-122.41782,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-00579,2024-01-17,15:19:10,Robbery,Westside Arts,District 5,37.773084,-122.434556,Street / Sidewalk,Reported Robbery at Street / Sidewalk
SYN-2024-01418,2024-01-17,15:46:50,Vandalism,Waterfront Marina,District 2,37.797237,-122.439625,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-00256,2024-01-17,20:28:29,Fraud,Downtown Central,District 1,37.787361,-122.42235,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-01118,2024-01-18,12:02:38,Assault,Downtown Central,District 1,37.779017,-122.414989,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-00897,2024-01-18,15:08:58,Robbery,Downtown Central,District 1,37.784943,-122.423591,Park / Public Space,Reported Robbery at Park / Public Space
SYN-2024-01438,2024-01-18,18:08:10,Public Disorder,Westside Arts,District 5,37.77537,-122.435024,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-03710,2024-01-18,22:39:14,Assault,Westside Arts,District 5,37.777602,-122.431524,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-03291,2024-01-19,03:09:11,Theft / Larceny,Downtown Central,District 1,37.783445,-122.410313,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-02830,2024-01-19,06:38:05,Narcotics,South Rail Corridor,District 4,37.748588,-122.392058,Transit Station,Reported Narcotics at Transit Station
SYN-2024-03641,2024-01-19,13:48:36,Vandalism,Downtown Central,District 1,37.776354,-122.401881,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-01960,2024-01-19,20:25:07,Theft / Larceny,Waterfront Marina,District 2,37.80159,-122.43251,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-02707,2024-01-19,23:17:06,Narcotics,Mission Commercial,District 3,37.759098,-122.412356,Bar / Restaurant,Reported Narcotics at Bar / Restaurant
SYN-2024-00717,2024-01-20,10:53:45,Theft / Larceny,Waterfront Marina,District 2,37.798508,-122.439775,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-02926,2024-01-20,11:52:33,Fraud,Westside Arts,District 5,37.781397,-122.436591,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-02591,2024-01-20,12:43:01,Burglary,Westside Arts,District 5,37.778453,-122.434222,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-00443,2024-01-20,23:01:11,Assault,South Rail Corridor,District 4,37.751432,-122.391875,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-00341,2024-01-21,08:28:24,Assault,Downtown Central,District 1,37.776714,-122.423374,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-03920,2024-01-21,11:39:28,Fraud,Mission Commercial,District 3,37.766614,-122.423434,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-00048,2024-01-21,20:48:36,Public Disorder,Mission Commercial,District 3,37.765995,-122.426886,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-04084,2024-01-22,08:10:00,Narcotics,Downtown Central,District 1,37.772756,-122.418923,Commercial Retail,Reported Narcotics at Commercial Retail
SYN-2024-02369,2024-01-22,11:42:15,Motor Vehicle Theft,Mission Commercial,District 3,37.758749,-122.420523,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-00102,2024-01-22,12:08:50,Theft / Larceny,Mission Commercial,District 3,37.761124,-122.421688,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-00976,2024-01-22,14:14:42,Vandalism,South Rail Corridor,District 4,37.748149,-122.40705,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-00647,2024-01-22,17:57:38,Assault,Downtown Central,District 1,37.779858,-122.420448,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-04274,2024-01-22,21:18:55,Motor Vehicle Theft,Downtown Central,District 1,37.776234,-122.42346,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-03077,2024-01-23,11:13:56,Public Disorder,Downtown Central,District 1,37.784553,-122.418941,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-04401,2024-01-23,15:38:51,Theft / Larceny,South Rail Corridor,District 4,37.746754,-122.398366,Transit Station,Reported Theft / Larceny at Transit Station
SYN-2024-03782,2024-01-23,16:12:23,Burglary,Waterfront Marina,District 2,37.801585,-122.43575,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-02025,2024-01-23,16:42:45,Narcotics,South Rail Corridor,District 4,37.753852,-122.383688,Parking Facility,Reported Narcotics at Parking Facility
SYN-2024-02576,2024-01-23,20:53:21,Motor Vehicle Theft,Downtown Central,District 1,37.784067,-122.41482,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02024,2024-01-24,00:54:34,Vandalism,Mission Commercial,District 3,37.766689,-122.419264,Bar / Restaurant,Reported Vandalism at Bar / Restaurant
SYN-2024-04029,2024-01-24,01:57:28,Vandalism,Mission Commercial,District 3,37.759495,-122.412161,Transit Station,Reported Vandalism at Transit Station
SYN-2024-04402,2024-01-24,03:45:48,Theft / Larceny,Westside Arts,District 5,37.774465,-122.431892,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-02873,2024-01-24,09:16:02,Narcotics,Waterfront Marina,District 2,37.800865,-122.432621,Park / Public Space,Reported Narcotics at Park / Public Space
SYN-2024-04441,2024-01-24,11:55:37,Robbery,Downtown Central,District 1,37.786636,-122.412182,Parking Facility,Reported Robbery at Parking Facility
SYN-2024-01533,2024-01-24,15:44:37,Theft / Larceny,Mission Commercial,District 3,37.764395,-122.419153,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-00516,2024-01-24,16:19:40,Public Disorder,Waterfront Marina,District 2,37.79458,-122.438526,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-00476,2024-01-24,18:13:13,Motor Vehicle Theft,Mission Commercial,District 3,37.766158,-122.419298,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-01948,2024-01-24,20:05:24,Assault,Mission Commercial,District 3,37.763004,-122.415421,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-02374,2024-01-24,20:05:31,Public Disorder,Westside Arts,District 5,37.77764,-122.43154,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-00889,2024-01-25,10:24:09,Vandalism,Mission Commercial,District 3,37.758113,-122.427405,Bar / Restaurant,Reported Vandalism at Bar / Restaurant
SYN-2024-01333,2024-01-25,12:13:11,Assault,Waterfront Marina,District 2,37.80639,-122.438396,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-00739,2024-01-25,17:21:53,Theft / Larceny,Downtown Central,District 1,37.783417,-122.424741,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-02273,2024-01-26,02:19:41,Vandalism,Waterfront Marina,District 2,37.793586,-122.440443,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-02388,2024-01-26,06:41:25,Vandalism,Waterfront Marina,District 2,37.7972,-122.433582,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-03931,2024-01-26,07:18:06,Narcotics,Downtown Central,District 1,37.778053,-122.418033,Street / Sidewalk,Reported Narcotics at Street / Sidewalk
SYN-2024-02512,2024-01-26,09:55:30,Vandalism,Mission Commercial,District 3,37.758009,-122.416287,Transit Station,Reported Vandalism at Transit Station
SYN-2024-02447,2024-01-26,15:29:06,Public Disorder,Downtown Central,District 1,37.775575,-122.402326,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-03540,2024-01-26,16:41:17,Motor Vehicle Theft,Mission Commercial,District 3,37.770097,-122.412046,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-01726,2024-01-26,18:08:00,Public Disorder,South Rail Corridor,District 4,37.749008,-122.39262,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-02599,2024-01-26,23:21:11,Burglary,South Rail Corridor,District 4,37.75728,-122.394924,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00042,2024-01-26,23:39:54,Robbery,Waterfront Marina,District 2,37.798685,-122.434039,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-01519,2024-01-27,02:04:24,Assault,Mission Commercial,District 3,37.758932,-122.420136,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-03369,2024-01-27,14:41:42,Vandalism,Mission Commercial,District 3,37.750868,-122.417129,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-04098,2024-01-27,19:48:56,Theft / Larceny,South Rail Corridor,District 4,37.754905,-122.392912,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-01110,2024-01-28,17:49:15,Vandalism,Mission Commercial,District 3,37.760094,-122.427872,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-00138,2024-01-29,07:45:41,Public Disorder,Downtown Central,District 1,37.782559,-122.423497,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-03382,2024-01-29,10:32:48,Theft / Larceny,Mission Commercial,District 3,37.761863,-122.417657,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-01865,2024-01-29,12:50:38,Theft / Larceny,Downtown Central,District 1,37.777638,-122.414396,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-01926,2024-01-29,18:30:09,Narcotics,Westside Arts,District 5,37.775639,-122.433696,Bar / Restaurant,Reported Narcotics at Bar / Restaurant
SYN-2024-01705,2024-01-29,18:38:06,Theft / Larceny,Waterfront Marina,District 2,37.796906,-122.435784,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-00036,2024-01-29,23:11:37,Burglary,South Rail Corridor,District 4,37.743434,-122.383885,,Reported Burglary at Residential Apartment
SYN-2024-02411,2024-01-30,08:35:22,Theft / Larceny,Downtown Central,District 1,37.776339,-122.420058,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-03253,2024-01-30,08:53:24,Vandalism,Westside Arts,District 5,37.774737,-122.428431,Alleyway,Reported Vandalism at Alleyway
SYN-2024-00113,2024-01-30,18:19:58,Theft / Larceny,Downtown Central,District 1,37.776844,-122.41545,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-02226,2024-01-30,19:27:54,Narcotics,Westside Arts,District 5,37.772841,-122.437813,Street / Sidewalk,Reported Narcotics at Street / Sidewalk
SYN-2024-02309,2024-01-30,20:36:51,Motor Vehicle Theft,Mission Commercial,District 3,37.772544,-122.413902,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02878,2024-01-30,20:57:10,Robbery,Downtown Central,District 1,37.771305,-122.422077,Park / Public Space,Reported Robbery at Park / Public Space
SYN-2024-02967,2024-01-31,00:27:27,Motor Vehicle Theft,Waterfront Marina,District 2,37.802488,-122.441444,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-00945,2024-01-31,10:46:44,Burglary,South Rail Corridor,District 4,37.756361,-122.3872,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-04130,2024-02-01,06:30:34,Robbery,Downtown Central,District 1,37.774653,-122.42185,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-03004,2024-02-01,07:09:48,Public Disorder,Downtown Central,District 1,37.74102,-122.397118,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-03825,2024-02-01,15:00:00,Public Disorder,Downtown Central,District 1,37.784441,-122.419024,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-01511,2024-02-01,17:11:47,Robbery,Downtown Central,District 1,37.780322,-122.409974,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-02991,2024-02-01,20:51:22,Theft / Larceny,Waterfront Marina,District 2,37.797957,-122.43857,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-01866,2024-02-02,08:29:02,Vandalism,Mission Commercial,District 3,37.778993,-122.438355,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-00902,2024-02-02,09:10:00,Burglary,Mission Commercial,District 3,37.764298,-122.426875,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-03418,2024-02-02,11:23:51,Motor Vehicle Theft,Westside Arts,District 5,37.780794,-122.441073,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-01609,2024-02-02,11:26:27,Narcotics,Downtown Central,District 1,37.779432,-122.418485,Street / Sidewalk,Reported Narcotics at Street / Sidewalk
SYN-2024-00983,2024-02-02,13:51:43,Motor Vehicle Theft,Westside Arts,District 5,37.779256,-122.437333,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-03585,2024-02-02,18:10:51,Theft / Larceny,Downtown Central,District 1,37.781312,-122.42384,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-03154,2024-02-03,17:09:06,Theft / Larceny,Waterfront Marina,District 2,37.804147,-122.435194,Transit Station,Reported Theft / Larceny at Transit Station
SYN-2024-02999,2024-02-03,21:24:37,Assault,South Rail Corridor,District 4,37.747435,-122.395014,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-00321,2024-02-03,21:45:12,Robbery,Downtown Central,District 1,37.779282,-122.411447,Commercial Retail,Reported Robbery at Commercial Retail
SYN-2024-03896,2024-02-03,22:21:03,Assault,Downtown Central,District 1,37.775153,-122.418875,Bar / Restaurant,Reported Assault at Bar / Restaurant
